observer_name,records
obsr604245,830
obsr3494823,830
obsr1102533,828
obsr1501893,828
obsr163746,825
obsr2780831,824
obsr606943,822
obsr1193153,820
obsr6577658,818
obsr1512304,816
obsr646961,814
obsr1807192,813
obsr1365043,813
obsr1139427,812
obsr27134,807
obsr544968,805
obsr232297,804
obsr789257,804
obsr1519240,804
obsr3189994,802
obsr457730,801
obsr547522,801
obsr365238,798
obsr3372650,792
obsr98855,792
obsr1795458,790
obsr732017,790
obsr599159,784
obsr1632802,783
obsr1797598,783
obsr16652,783
obsr873293,778
obsr339417,778
obsr950557,778
obsr801188,778
obsr189206,777
obsr417322,777
obsr1128513,776
obsr616061,774
obsr811140,770
obsr636911,768
obsr307958,768
obsr307968,768
obsr690319,768
obsr1043477,766
obsr454167,762
obsr2463499,760
obsr480599,759
obsr325989,758
obsr881800,756
obsr866855,756
obsr906728,754
obsr1532862,752
obsr2117715,752
obsr664996,752
obsr505951,750
obsr1070169,750
obsr2628149,750
obsr746920,750
obsr1234465,748
obsr543045,744
obsr651690,744
obsr455741,742
obsr2808023,740
obsr779815,739
obsr60400,738
obsr119760,732
obsr552377,729
obsr162737,728
obsr661176,726
obsr723909,726
obsr795013,725
obsr654562,720
obsr457777,717
obsr188371,714
obsr1672021,711
obsr1435611,709
obsr2712717,706
obsr3525378,706
obsr1449119,702
obsr2764664,698
obsr564610,698
obsr636503,698
obsr637980,696
obsr358666,696
obsr4740696,696
obsr767379,690
obsr551948,686
obsr667026,682
obsr539795,680
obsr883107,678
obsr1115150,676
obsr520953,675
obsr893550,674
obsr537172,672
obsr3328544,666
obsr1247013,666
obsr742387,666
obsr1345947,664
obsr888829,664
obsr676947,662
obsr2157740,662
obsr811385,660
obsr456859,660
obsr676267,660
obsr809199,660
obsr1515307,660
obsr2881486,658
obsr1189853,658
obsr2914730,654
obsr465694,654
obsr3563321,650
obsr1441831,648
obsr693321,648
obsr785818,647
obsr945139,646
obsr3397982,646
obsr2705830,639
obsr551668,639
obsr128626,636
obsr432967,630
obsr606070,630
obsr640796,628
obsr675090,628
obsr671157,628
obsr871436,627
obsr221931,624
obsr654200,624
obsr600688,618
obsr1538132,618
obsr1557126,615
obsr820523,610
obsr422861,609
obsr576503,605
obsr625519,604
obsr477866,603
obsr488574,602
obsr1115122,600
obsr723908,600
obsr648129,600
obsr500573,598
obsr1148557,597
obsr2007878,592
obsr1102031,590
obsr426286,590
obsr621321,588
obsr1177820,586
obsr1058349,586
obsr1879174,586
obsr992299,582
obsr3759847,582
obsr97838,582
obsr1924927,580
obsr172204,579
obsr512830,578
obsr2155036,578
obsr2304332,576
obsr471257,576
obsr57317,574
obsr6544338,574
obsr554747,572
obsr1002099,572
obsr484422,572
"Osmaston, B B",572
obsr635972,570
obsr768475,568
obsr162335,566
obsr953474,564
obsr603693,562
obsr2774529,562
obsr850787,561
obsr1043377,560
obsr1531134,558
obsr518138,558
obsr548252,558
obsr540006,556
obsr1145340,554
obsr667533,550
obsr247563,549
obsr276156,548
obsr438553,548
obsr192135,546
obsr205551,546
obsr287371,542
obsr566048,540
obsr653588,538
obsr2010800,538
obsr903760,536
obsr630093,534
obsr534175,534
obsr623930,528
obsr3366657,528
obsr6141713,528
obsr1622174,526
obsr1662974,524
obsr1923795,520
obsr1651221,520
obsr820289,519
lunarjade,519
obsr1095617,518
obsr2006410,518
obsr450330,518
obsr1431488,518
obsr657014,518
obsr6344172,516
obsr1387689,516
obsr549136,516
obsr1617827,514
obsr1269167,514
obsr3455994,508
obsr2872083,508
obsr790876,508
obsr2346558,508
obsr2872061,508
obsr1764789,508
obsr1662711,508
obsr2008292,506
obsr2499193,506
obsr509251,504
obsr753230,502
obsr1609681,498
obsr715867,498
obsr777921,497
obsr1304637,496
obsr1905791,494
obsr541737,494
obsr680627,492
obsr2310751,492
obsr1925029,492
k-ekoy,490
obsr2712176,488
obsr359585,486
obsr206950,486
obsr457666,484
obsr1066966,484
obsr689766,484
obsr464041,482
obsr792756,480
obsr529319,480
obsr1012989,480
obsr520269,480
