column_name,missing_percent,retained_or_removed
occurrence_id,0.33231494881277807,retained
datasetkey,43.32659611928329,retained
kingdom,0.3350966786823828,retained
phylum,0.4017903484829056,retained
class,0.3939200883640239,retained
order,0.42560467004952157,retained
family,0.37193763768714766,retained
genus,0.3673918839977936,retained
species_name,0.006920401139016611,retained
taxonrank,42.994484711680485,retained
verbatimscientificname,43.33351652042231,retained
countrycode,43.02454096368621,retained
locality,0.8360115964212027,retained
stateprovince,0.4271651526592998,retained
occurrencestatus,0.6475324359879856,retained
individualcount,6.297022259945193,retained
publishingorgkey,86.32087728975381,removed
latitude,0.0,retained
longitude,0.0,retained
observation_date,42.66617273999714,retained
day,0.6784028528335989,retained
month,0.6720930753244956,retained
year,0.6676830157751222,retained
taxonkey,43.32659611928329,retained
specieskey,45.98776174551514,retained
basisofrecord,0.32525885353378076,retained
institutioncode,0.4714014422930139,retained
collectioncode,0.4114246324215366,retained
catalognumber,0.40056910122307915,retained
license,42.98708938105153,retained
observer_name,0.039758383014350335,retained
lastinterpreted,43.32659611928329,retained
issue,43.35834854803878,retained
source_file,0.0,retained
bird_id,99.99959291758006,removed
region,99.99959291758006,removed
habitat,99.94626512056763,removed
weather_condition,99.99959291758006,removed
migration_reason,99.99959291758006,removed
end_latitude,99.99959291758006,removed
end_longitude,99.99959291758006,removed
flight_distance_km,99.99959291758006,removed
flight_duration_hours,99.99959291758006,removed
average_speed_kmph,99.99959291758006,removed
max_altitude_m,99.99959291758006,removed
min_altitude_m,99.99959291758006,removed
temperature_c,99.99959291758006,removed
wind_speed_kmph,99.99959291758006,removed
humidity_%,99.99959291758006,removed
pressure_hpa,99.99959291758006,removed
visibility_km,99.99959291758006,removed
nesting_success,99.99959291758006,removed
tag_battery_level_%,99.99959291758006,removed
signal_strength_db,99.99959291758006,removed
migration_start_month,99.99959291758006,removed
migration_end_month,99.99959291758006,removed
rest_stops,99.99959291758006,removed
predator_sightings,99.99959291758006,removed
tag_type,99.99959291758006,removed
migrated_in_flock,99.99959291758006,removed
flock_size,99.99959291758006,removed
food_supply_level,99.99959291758006,removed
tracking_quality,99.99959291758006,removed
migration_interrupted,99.99959291758006,removed
interrupted_reason,99.99959291758006,removed
tagged_by,99.99959291758006,removed
tag_weight_g,99.99959291758006,removed
migration_success,99.99959291758006,removed
recovery_location_known,99.99959291758006,removed
recovery_time_days,99.99959291758006,removed
observation_counts,99.99959291758006,removed
observation_quality,99.99959291758006,removed
origin,99.99972861172004,removed
destination,99.99986430586002,removed
tag_list,99.9563743339962,removed
description,99.97923879658295,removed
place_guess,99.67609808786602,removed
uncertainty_m,99.19336618488462,removed
createdby,99.992943904721,removed
placename,99.99321529300096,removed
noofidentifications,99.992943904721,removed
geoprivacy,99.992943904721,removed
createdon (utc),99.992943904721,removed
createdon (portal time),99.992943904721,removed
associatedmedia,99.99138342211123,removed
group_id,99.992943904721,removed
dateaccuracy,99.99769319962033,removed
islocked,99.992943904721,removed
locationscale,99.992943904721,removed
fromdate,99.992943904721,removed
todate,99.99348668128093,removed
rank,99.992943904721,removed
commonname,99.99389376370087,removed
accessrights,99.99823597618025,removed
bibliographiccitation,99.99905014102013,removed
language,99.9732682544238,removed
modified,99.43537668354023,removed
publisher,57.005718829529485,removed
references,99.44786054441846,removed
rightsholder,99.3497536812124,removed
type,99.97258978372389,removed
institutionid,99.91166311487255,removed
collectionid,99.93215293000965,removed
datasetid,99.99620056408054,removed
datasetname,99.4566806635172,removed
ownerinstitutioncode,99.9423299905082,removed
informationwithheld,99.93473111866928,removed
datageneralizations,99.9993215293001,removed
dynamicproperties,99.86661266039896,removed
recordedbyid,99.99226543402109,removed
organismquantity,99.99905014102013,removed
organismquantitytype,99.99877875274017,removed
sex,99.90827076137303,removed
lifestage,99.86294891861948,removed
behavior,99.9485719209473,removed
vitality,99.94097304910838,removed
georeferenceverificationstatus,99.93350987140944,removed
preparations,99.85670698818036,removed
disposition,99.99117988090124,removed
associatedreferences,99.99090849262129,removed
associatedtaxa,99.99389376370087,removed
othercatalognumbers,99.99484362268073,removed
occurrenceremarks,99.96580507672486,removed
organismid,99.98887308052159,removed
organismname,99.99620056408054,removed
previousidentifications,99.99823597618025,removed
organismremarks,99.99823597618025,removed
materialentityid,99.99918583516012,removed
fieldnumber,99.99687903478043,removed
eventtime,99.45966593459679,removed
startdayofyear,56.99689871043074,removed
enddayofyear,56.99974828737033,removed
verbatimeventdate,99.45003165065816,removed
samplingprotocol,99.94992886234712,removed
fieldnotes,99.96960451264431,removed
eventremarks,99.98561642116205,removed
locationid,99.99959291758006,removed
highergeographyid,99.99402945784085,removed
highergeography,99.9662121591448,removed
continent,56.960736222125874,removed
waterbody,99.9986430586002,removed
islandgroup,99.99172265746118,removed
island,99.98724475084181,removed
county,14.719218293198399,retained
municipality,99.98819460982168,removed
verbatimlocality,99.50050987073098,removed
elevation_m,99.9485719209473,removed
locationaccordingto,99.99905014102013,removed
locationremarks,99.99565778752061,removed
coordinateprecision,99.99267251644103,removed
verbatimcoordinatesystem,99.99253682230106,removed
verbatimsrs,99.99905014102013,removed
footprintwkt,99.99986430586002,removed
footprintsrs,99.99986430586002,removed
georeferencedby,99.94463679088787,removed
georeferenceddate,99.93554528350916,removed
georeferenceprotocol,99.93133876516976,removed
georeferencesources,99.93527389522919,removed
georeferenceremarks,99.99362237542091,removed
identificationid,99.52737731044716,removed
verbatimidentification,99.98887308052159,removed
identificationqualifier,99.99905014102013,removed
typestatus,99.99810028204027,removed
identifiedby,99.52018552102818,removed
identifiedbyid,99.99185835160117,removed
dateidentified,99.52663099267727,removed
identificationverificationstatus,99.936630836629,removed
identificationremarks,99.98398809148227,removed
taxonid,99.51869288548839,removed
scientificnameid,99.99959291758006,removed
acceptednameusageid,57.005718829529485,removed
taxonconceptid,14.723424811537802,retained
acceptednameusage,99.98615919772197,removed
parentnameusage,99.99972861172004,removed
originalnameusage,99.98900877466156,removed
higherclassification,99.922654340211,removed
genericname,59.66369564347179,removed
specificepithet,16.954440014030776,retained
infraspecificepithet,99.90073973660411,removed
vernacularname,14.602792721094943,retained
nomenclaturalcode,99.92604669371052,removed
taxonomicstatus,57.00368341742978,removed
taxonremarks,99.99877875274017,removed
publishingcountry,57.005718829529485,removed
elevationaccuracy,99.99993215293,removed
depthaccuracy,99.99993215293,removed
nontaxonomicissue,57.04323825923415,removed
mediatype,99.7262370725889,removed
hascoordinate,57.005718829529485,removed
hasgeospatialissues,57.005718829529485,removed
acceptedtaxonkey,57.005718829529485,removed
kingdomkey,57.005718829529485,removed
phylumkey,57.005718829529485,removed
classkey,57.005718829529485,removed
orderkey,57.03842111726484,removed
familykey,57.03842111726484,removed
genuskey,57.00599021780944,removed
acceptedscientificname,57.005718829529485,removed
typifiedname,99.99966076465005,removed
protocol,57.005718829529485,removed
lastparsed,57.005718829529485,removed
lastcrawled,57.005718829529485,removed
repatriated,57.005718829529485,removed
projectid,99.98846599810165,removed
issequenced,57.005718829529485,removed
gbifregion,57.005718829529485,removed
publishedbygbifregion,57.005718829529485,removed
level0gid,57.65223355946761,removed
level0name,57.65223355946761,removed
level1gid,57.65223355946761,removed
level1name,57.65223355946761,removed
level2gid,57.65223355946761,removed
level2name,57.65223355946761,removed
level3gid,57.65223355946761,removed
level3name,57.65223355946761,removed
iucnredlistcategory,64.41848615546614,removed
degreeofestablishment,99.99952507051006,removed
eventtype,99.97503227824355,removed
country,57.25593882365393,removed
minimumelevationinmeters,99.99986430586002,removed
maximumelevationinmeters,99.99993215293,removed
minimumdepthinmeters,99.99993215293,removed
maximumdepthinmeters,99.99993215293,removed
geodeticdatum,57.01779560798778,removed
verbatimcoordinates,99.99945722344007,removed
verbatimlatitude,99.9767284549933,removed
verbatimlongitude,99.9767284549933,removed
subfamily,99.99986430586002,removed
subgenus,99.99959291758006,removed
scientificnameauthorship,99.98995863364144,removed
